1,3-2-2011,Deposit,1200.00,0,NULL,17431,NULL
2,3-3-2011,Deposit,21000.00,0,NULL,54321,NULL
3,3-3-2011,Deposit,1200.00,0,NULL,12121,NULL
4,3-3-2011,Deposit,15000.00,0,NULL,41725,NULL
5,3-3-2011,Deposit,2000000.00,0,NULL,93156,NULL
6,3-4-2011,Top-up,50.00,0,NULL,53027,12121
7,3-4-2011,Deposit,1289.00,0,NULL,43942,NULL
8,3-4-2011,Deposit,34000.00,0,NULL,29107,NULL
9,3-5-2011,Deposit,2300.00,0,NULL,19023,NULL
10,3-5-2011,Top-up,20.00,0,NULL,60413,43942
11,3-5-2011,Deposit,1000.00,0,NULL,32156,NULL
12,3-5-2011,Deposit,8456.00,0,NULL,76543,NULL
13,3-5-2011,Top-up,30.00,0,NULL,43947,29107
14,3-6-2011,Top-up,100.00,0,NULL,67521,19023
